,LSTM
0,0.08985233791621168
1,0.08992818880458721
2,0.3569538674423707
3,0.11738522128060641
4,0.20204131840308837
5,0.3096514834196366
6,0.30264889144538587
7,0.34908182705000923
8,0.18537295450668634
9,0.1271536116250762
10,0.27053250128149253
11,0.16651132255489426
12,0.21223842728465372
13,0.2601999900171146
14,0.23404184156340743
15,0.08494789622128279
16,0.05394099064964043
17,0.06874269354915151
18,0.12022711165982367
19,0.052023029689880075
20,0.20881795145276813
21,0.24129193716878783
22,0.20713493384884168
23,0.2059608574081354
24,0.21796555846254662
25,0.320276325966749
26,0.168937187290524
27,0.07537737444802543
28,0.10452862508356094
29,0.14602409005825617
30,0.1322122537672294
31,0.1602794730469096
32,0.2806622224344728
33,0.18872620278315683
34,0.22009026209503044
35,0.14832452146383948
36,0.18810030029090338
37,0.2052458291377234
38,0.2395783898740035
39,0.17238849184108482
40,0.25666097741359334
41,0.315836618158902
42,0.2658007475709799
43,0.2378087844744728
44,0.21170642598369918
45,0.13647645257901922
46,0.07527305810596362
47,0.14764488907079248
48,0.1303459079655433
49,0.2171001104299354
50,0.2074689416921791
51,0.19245753622150977
52,0.34145949460186914
53,0.30173256340150184
54,0.24701105713430663
55,0.2456608802130786
56,0.20152069359548566
57,0.24033423822916702
58,0.16212689320134938
59,0.1766689013768491
60,0.22687323061295292
61,0.16507360036151938
62,0.11953978322082952
63,0.07148556021898397
64,0.11784725303424956
65,0.2994978593279037
66,0.3282642221213625
67,0.28974143199600993
68,0.2165038653875632
69,0.258753984042763
70,0.2031680538428268
71,0.12007719596480661
72,0.16657958329064626
73,0.2507617305557952
74,0.492055941396627
