,MeanVariance,CLA,HRP,nonconvex,random,equal_weight
0,-0.028827540987730525,-0.028827540987729675,-0.17049106337045833,-0.17498845154969084,-0.1681341484478506,-0.16463907078566808
1,0.0881870622488524,0.0886931608447485,-0.002375105407456559,-0.002965974526005468,-0.009394681112148346,-0.01337930642124027
2,0.16421953454573587,0.16420652492035212,0.08168883584398043,0.0756324373892719,0.055989409514622286,0.05268193819172713
3,0.15598505500826942,0.1559850550082939,0.20044931740839977,0.19795981324412584,0.16607008743542337,0.17555639968953454
4,0.2709686471830857,0.2709042087966983,0.21210529223507776,0.18751228964329722,0.1487620503558064,0.14361514997056257
5,0.17827964166531368,0.1785176110439119,0.13095579504719185,0.13056083250651784,0.11095019847889623,0.11589879288610214
6,0.12921820011755447,0.1292680793153025,-0.0139441987852181,0.012507255550140591,0.01460334625435805,0.024871950287989365
7,0.20331739315299552,0.2033192318728526,0.08791269280170462,0.094160677340733,0.10437619621733059,0.09315574082951077
8,0.2152953649196391,0.2153073285019463,0.14246448859187805,0.14178416593539148,0.12864670903195913,0.12441602543792851
9,0.187792442308871,0.18799398840727805,0.09489565847326067,0.10193674872320783,0.10967421143894393,0.10385497970696142
